Permit_Number,Owner_Name,Operating_Name,Street,City,State,Prem_Zip,Prem_County,Industry_Type,New_Permit_Flag
CA-I-22306,LUXURY SAPPHIRE,,15524 W LANARK ST,VAN NUYS,CA,91406,LOS ANGELES,Importer (Alcohol),0
CA-I-22307,"RINASCIMENTO WINE COMPANY, LLC",Rinascimento Wine Company,4271 CAMPBELL DR,LOS ANGELES,CA,90066,LOS ANGELES,Importer (Alcohol),0
CA-I-22308,"MCCLAIN FAMILY CELLARS, INC",McClain Vineyards,30245 TOMAS ST,RANCHO SANTA MARGARITA,CA,92688,ORANGE,Importer (Alcohol),0
CA-I-22309,"CAVALLER WINE EXCHANGE, LLC",,17107 S FIGUEROA ST UNIT 1#44,LOS ANGELES,CA,90248,LOS ANGELES,Importer (Alcohol),0
CA-I-22310,"KOSTIV GROUP, LLC",,3450 WILSHIRE BLVD STE 420,LOS ANGELES,CA,90010,LOS ANGELES,Importer (Alcohol),0
CA-I-22311,PERFECT CHOICE START INC.,,29381 VILLAGE PKWY,LAKE ELSINRE,CA,92530,,Importer (Alcohol),0
CA-I-22312,"CENTRAL VALLEY CRAFT BEER, LLC",LOST CORK WINE CO.,746 BROADWAY ST,FRESNO,CA,93721,FRESNO,Importer (Alcohol),0
CA-I-22313,"VIDA WINES, LLC",,131 W VICTORIA ST,LONG BEACH,CA,90805,LOS ANGELES,Importer (Alcohol),0
CA-I-22314,VINACCESS INTERNATIONAL,VinAccess International,554 2ND ST,YUBA CITY,CA,95991,SUTTER,Importer (Alcohol),0
CA-I-22315,TRINITY BAY LLC,,10633 KINNARD AVE UNIT 3,LOS ANGELES,CA,90024,,Importer (Alcohol),0
CA-I-22316,MORRO HERMOSO LLC,Morro Hermoso,1981 E 213 ST,CARSON,CA,90810,,Importer (Alcohol),0
CA-I-22317,BAUBIE J WARDROBE-FOX,Gnarly Fox Vineyards,2085 E PELTIER RD,ACAMPO,CA,95220,SAN JOAQUIN,Importer (Alcohol),0
CA-I-22318,"BASTILLE DAY US, INC.",Guillotine Vodka,923 COLE AVE,LOS ANGELES,CA,90038,LOS ANGELES,Importer (Alcohol),0
CA-I-22319,"FREY VINEYARDS, LTD.",,11700 WEST RD,REDWOOD VALLEY,CA,95470,MENDOCINO,Importer (Alcohol),0
CA-I-22320,"VEROVINO, INC.",Populaire Wines,5757 OLIVAS PARK DR STE K,VENTURA,CA,93003,,Importer (Alcohol),0
CA-I-22321,J AND J WINERY INC,,2747 NAPA VALLEY CORPORATE DR,NAPA,CA,94558,NAPA,Importer (Alcohol),0
CA-I-22322,"PURE AZUL BEVERAGE COMPANY, LLC",,840 E GREEN ST UNIT 424,PASADENA,CA,91101,LOS ANGELES,Importer (Alcohol),0
CA-I-22323,SIP AND SAVOR,,3324 MONIER CIR UNIT 8,RANCHO CORDOVA,CA,95742,,Importer (Alcohol),0
CA-I-22324,LAKEFOREST WINES,,2222 FRANCISCO DR STE 230,EL DORADO HILLS,CA,95762,,Importer (Alcohol),0
CA-I-22325,BLUTANGO INC.,BluTango Wine & Spirits,65 PINE AVE STE 328,LONG BEACH,CA,90802,,Importer (Alcohol),0
CA-I-22326,FATHER JOHN WINERY LLC,,7970 CAMERON DR,WINDSOR,CA,95492,SONOMA,Importer (Alcohol),0
CA-I-22328,"FRIJOLOTES, LLC",,1445 36TH AVE,OAKLAND,CA,94601,ALAMEDA,Importer (Alcohol),0
CA-I-22329,CHRISTOPHER MARZWANIAN,Wulf Pak Distribution,1823 N SAN FERNANDO RD,LOS ANGELES,CA,90065,LOS ANGELES,Importer (Alcohol),0
